City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
7,San Patricio,US,83.53,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
10,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
11,Mahebourg,MU,77.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,Lamar,US,79.99,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
22,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
23,Georgetown,MY,80.53,thunderstorm,5.4112,100.3354,Cititel Penang
26,Atuona,PF,79.25,light rain,-9.8,-139.0333,Villa Enata
29,Angoche,MZ,75.87,overcast clouds,-16.2325,39.9086,Guest House HESADA
35,Bonthe,SL,80.04,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
38,Korampallam,IN,82.38,scattered clouds,8.7667,78.1,Regency Tuticorin by GRT Hotels
42,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
43,Gigmoto,PH,82.89,scattered clouds,13.7796,124.39,Cj's Travellers Inn
47,Bambous Virieux,MU,77.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
48,Bengkulu,ID,77.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
59,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
63,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
64,Bangkalan,ID,75.15,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
66,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
67,Maine-Soroa,NE,84.52,broken clouds,13.2114,12.0241,Complexe
68,Hays,US,79.03,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
70,Limon,CR,82.29,broken clouds,10.0,-83.0333,Hotel Playa Bonita
73,Kudahuvadhoo,MV,84.15,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
79,Salinopolis,BR,78.35,heavy intensity rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
80,El Seibo,DO,78.33,overcast clouds,18.7641,-69.0375,Defensa Civil del Seibo
83,Coruripe,BR,77.38,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
84,Muisne,EC,77.74,broken clouds,0.6,-80.0333,Quinta Samay
88,Buraydah,SA,77.45,overcast clouds,26.326,43.975,Mövenpick Qassim
91,Hilo,US,88.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
95,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Bhatkal,IN,82.22,light rain,13.9667,74.5667,Nilawar Palace
98,Victoria,HK,75.38,broken clouds,22.2855,114.1577,Mini Hotel Central
103,Jawad,IN,78.13,broken clouds,24.6,74.85,हर मंदिर जावद
104,Bontang,ID,79.09,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
106,Iracoubo,GF,75.83,heavy intensity rain,5.4802,-53.2011,Le Gîte d’Iracoubo
111,Cabo San Lucas,MX,88.11,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
113,Butaritari,KI,81.41,broken clouds,3.0707,172.7902,Isles Sunset Lodge
120,Patiya,BD,75.72,broken clouds,22.2931,91.9762,অধ্যক্ষ ইকবাল মোজাদ্দেদী সাহেব এর বাড়ি
124,Hithadhoo,MV,83.79,scattered clouds,-0.6,73.0833,Scoop Guest House
125,Faanui,PF,78.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
127,Baillif,GP,78.64,few clouds,16.0202,-61.7463,Hôtel Saint-Georges
134,Veraval,IN,80.98,clear sky,20.9,70.3667,Lords Inn Somnath
146,Hobyo,SO,82.51,broken clouds,5.3505,48.5268,Iftin hotel hobyo
149,Tautira,PF,78.1,moderate rain,-17.7333,-149.15,Pension Oaoa
152,Ranot,TH,83.32,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
160,Maningrida,AU,83.37,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
170,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
171,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
174,Loandjili,CG,77.92,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
180,Roswell,US,75.33,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
191,Tabas,IR,75.42,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
193,Mitsamiouli,KM,81.77,light rain,-11.3847,43.2844,Foyer ADM
196,Kavaratti,IN,84.27,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
200,Kattivakkam,IN,84.29,clear sky,13.2167,80.3167,Euronova Freezer
201,Tanout,NE,86.11,overcast clouds,14.9709,8.8879,
203,Prachuap Khiri Khan,TH,78.69,scattered clouds,12.2167,99.75,ผกากรองรีสอร์ท
206,Ponnani,IN,79.92,scattered clouds,10.767,75.9252,Rouba Residency
207,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
210,Saint Andrews,US,76.73,few clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
220,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
