,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Port Hardy,CA,50.6996,-127.4199,53.78,62,75,8.05,broken clouds
1,Constitucion,CL,-35.3333,-72.4167,50.79,88,100,9.17,overcast clouds
2,Hasaki,JP,35.7333,140.8333,64.29,80,63,9.08,broken clouds
3,Busselton,AU,-33.65,115.3333,58.23,67,0,13.47,clear sky
4,Barrow,US,71.2906,-156.7887,14.02,73,0,21.85,clear sky
5,Cape Town,ZA,-33.9258,18.4232,62.11,89,75,10.36,broken clouds
6,Ikwiriri,TZ,-7.9562,38.9716,72.1,96,100,3.6,overcast clouds
7,San Patricio,US,28.017,-97.5169,83.53,75,14,18.52,few clouds
8,Henties Bay,NA,-22.116,14.2845,66.49,69,0,6.04,clear sky
9,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,79,12,5.14,few clouds
10,Mount Isa,AU,-20.7333,139.5,76.77,41,93,10.36,overcast clouds
11,Mahebourg,MU,-20.4081,57.7,77.25,83,40,9.22,scattered clouds
12,Chicama,PE,-7.8447,-79.1469,63.14,76,48,7.63,scattered clouds
13,Dunedin,NZ,-45.8742,170.5036,51.8,72,100,11.01,overcast clouds
14,Lamar,US,33.6668,-95.5836,79.99,73,75,20.71,broken clouds
15,Carnarvon,AU,-24.8667,113.6333,64.47,63,46,8.05,scattered clouds
16,Port Elizabeth,ZA,-33.918,25.5701,63.32,90,20,13.8,few clouds
17,Bluff,NZ,-46.6,168.3333,48.79,55,94,22.86,overcast clouds
18,Mataura,NZ,-46.1927,168.8643,48.47,91,93,7.61,light rain
19,Kidodi,TZ,-7.6036,37.0044,70.27,95,99,2.46,overcast clouds
20,Nantucket,US,41.2835,-70.0995,50.14,79,0,18.41,clear sky
21,Khatanga,RU,71.9667,102.5,6.26,93,84,8.5,broken clouds
22,Padang,ID,-0.9492,100.3543,75.25,81,92,4.16,overcast clouds
23,Georgetown,MY,5.4112,100.3354,80.53,94,20,3.44,thunderstorm
24,Yellowknife,CA,62.456,-114.3525,34.32,47,20,8.05,few clouds
25,Camacha,PT,33.0833,-16.3333,58.42,63,20,14.97,few clouds
26,Atuona,PF,-9.8,-139.0333,79.25,80,13,14.72,light rain
27,Port Alfred,ZA,-33.5906,26.891,67.55,78,50,11.41,scattered clouds
28,Altay,CN,47.8667,88.1167,45.95,77,100,4.21,overcast clouds
29,Angoche,MZ,-16.2325,39.9086,75.87,91,90,8.77,overcast clouds
30,Tura,IN,25.5198,90.2201,68.32,89,2,4.99,clear sky
31,Hermanus,ZA,-34.4187,19.2345,55.8,90,51,6.02,broken clouds
32,Dikson,RU,73.5069,80.5464,0.37,97,99,12.3,overcast clouds
33,Hanover,DE,52.3705,9.7332,51.08,93,100,4.61,overcast clouds
34,Coquimbo,CL,-29.9533,-71.3436,56.93,94,0,6.91,clear sky
35,Bonthe,SL,7.5264,-12.505,80.04,88,100,5.17,overcast clouds
36,Ushuaia,AR,-54.8,-68.3,40.66,81,75,18.41,broken clouds
37,Nsanje,MW,-16.92,35.262,71.17,98,100,4.0,overcast clouds
38,Korampallam,IN,8.7667,78.1,82.38,77,47,4.05,scattered clouds
39,Torbay,CA,47.6666,-52.7314,34.75,80,20,11.5,few clouds
40,Verkh-Usugli,RU,52.7,115.1667,30.45,22,43,5.35,scattered clouds
41,Shelburne,CA,44.0787,-80.2041,54.36,65,17,20.62,few clouds
42,Kapaa,US,22.0752,-159.319,82.38,87,75,12.66,light rain
43,Gigmoto,PH,13.7796,124.39,82.89,80,26,10.4,scattered clouds
44,Jamestown,US,42.097,-79.2353,58.59,44,20,12.66,few clouds
45,New Norfolk,AU,-42.7826,147.0587,55.92,56,83,2.84,broken clouds
46,Qaanaaq,GL,77.484,-69.3632,-5.48,75,71,8.21,broken clouds
47,Bambous Virieux,MU,-20.3428,57.7575,77.22,83,40,9.22,scattered clouds
48,Bengkulu,ID,-3.8004,102.2655,77.16,83,97,5.48,overcast clouds
49,East London,ZA,-33.0153,27.9116,73.04,49,87,4.07,overcast clouds
50,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,13.8,broken clouds
51,Zhezkazgan,KZ,47.8043,67.7144,59.76,40,98,5.14,overcast clouds
52,Rikitea,PF,-23.1203,-134.9692,70.21,85,100,13.56,moderate rain
